id,rating,pop,desc,director,writer,star
345,7.3|46K,,"Suffering from writer's block and eagerly awaiting his writing award, Harry Block remembers events from his past and scenes from his best-selling books as characters, real and fictional, come back to haunt him.",Woody Allen,Woody Allen,Woody Allen|Judy Davis|Julia Louis-Dreyfus
346,7.5|357K,"1,444|up|37","A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the drug dealer she works for, she must find a way to secure her future without getting killed.",Quentin Tarantino,Quentin Tarantino|Elmore Leonard,Pam Grier|Samuel L. Jackson|Robert Forster
347,7.1|86K,"4,460|down|93","Shortly before an election, a spin-doctor and a Hollywood producer join efforts to fabricate a war in order to cover up a Presidential sex scandal.",Barry Levinson,Larry Beinhart|Hilary Henkin|David Mamet,Dustin Hoffman|Robert De Niro|Anne Heche
348,6.1|17K,,"Frank Conner is an honest police officer who desperately needs to save his son's life. However, after losing all hope, he finds out that a criminal Peter McCabe in jail is his only savior.",Barbet Schroeder,David Klass,Michael Keaton|Andy Garcia|Brian Cox
349,5.9|36K,,The partner and nephew of an armored-truck driver tries to prevent three million dollars from being taken by a gang during a catastrophic flooding caused by a severe storm.,Mikael Salomon,Graham Yost,Morgan Freeman|Christian Slater|Randy Quaid
350,7.0|87K,"2,524|up|556","Homicide detective John Hobbes witnesses the execution of serial killer Edgar Reese. Soon after the execution, the killings start again, and they are very similar to Reese's style.",Gregory Hoblit,Nicholas Kazan,Denzel Washington|John Goodman|Donald Sutherland
351,5.6|7.8K,,"When the powers of good and evil again descend to Earth in a battle over mankind, the only hope for survival is the unborn child of an innocent woman. With the help of a mysterious stranger, she races to protect her child and save mankind.",Greg Spence,Gregory Widen|Matt Greenberg|Greg Spence,Christopher Walken|Russell Wong|Jennifer Beals
352,3.6|37K,,World famous pop group the Spice Girls zip around London in their luxurious double decker tour bus having various adventures and performing for their fans.,Bob Spiers,Spice Girls|Kim Fuller|Jamie Curtis,Mel B|Emma Bunton|Melanie C
353,6.1|39K,"3,531|up|1,004","A group of heavily armed hijackers board a luxury ocean liner in the South Pacific Ocean to loot it, only to do battle with a series of large-sized, tentacled, man-eating sea creatures who had already invaded the ship.",Stephen Sommers,Stephen Sommers,Treat Williams|Famke Janssen|Anthony Heald
354,6.9|155K,459|up|583,"Robbie, a singer, and Julia, a waitress, are both engaged, but to the wrong people. Fortune intervenes to help them discover each other.",Frank Coraci,Tim Herlihy,Adam Sandler|Drew Barrymore|Christine Taylor
355,6.1|109K,,A spaceship is discovered under three hundred years' worth of coral growth at the bottom of the ocean.,Barry Levinson,Michael Crichton|Kurt Wimmer|Stephen Hauser,Dustin Hoffman|Sharon Stone|Samuel L. Jackson
356,6.7|70K,"3,200|down|100",A young boy who witnessed the suicide of a mafia lawyer hires an attorney to protect him when the District Attorney tries to use him to take down a mob family.,Joel Schumacher,John Grisham|Akiva Goldsman|Robert Getchell,Susan Sarandon|Tommy Lee Jones|Brad Renfro
357,8.7|1M,247|down|89,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Milos Forman,Lawrence Hauben|Bo Goldman|Ken Kesey,Jack Nicholson|Louise Fletcher|Michael Berryman
358,5.2|70K,"3,355|down|325","An elite mercenary is killed, but comes back from Hell as a reluctant soldier of the Devil.",Mark A.Z. Dippé,Todd McFarlane|Alan B. McElroy|Mark A.Z. Dippé,Michael Jai White|John Leguizamo|Martin Sheen
359,6.8|9.6K,,"An American naval officer is recruited for an operation to eliminate his lookalike, the infamous terrorist Carlos The Jackal.",Christian Duguay,Dan Gordon|Sabi H. Shabtai,Aidan Quinn|Donald Sutherland|Ben Kingsley
360,7.1|138,,"The director interviews residents of the Levittown community, which was intended to be an affordable housing community for soldiers returning from war. Several communities were built in the 1940s and 1950s, on the east coast.",John O'Hagan,Bill Griffith|John McGarr|Eddie Money,John O'Hagan
361,6.4|3.9K,,"Harry Donovan is an art forger who paints a fake Rembrandt picture for $500,000. Marieke, the woman he meets in Paris and gets into bed with, turns out to be the art expert whom Harry's clients are using to check the counterfeit picture he painted.",John Badham,Jordan Katz,Jason Patric|Irène Jacob|Thomas Lockyer
362,4.9|34K,,"Elwood must reunite the old band, with a few new members, and go on another ""Mission from God.""",John Landis,Dan Aykroyd|John Landis,Dan Aykroyd|John Goodman|Walter Levine
363,5.8|36K,,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,Peter Hyams,Karen Elise Baldwin|Gene Quintano,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry
364,6.4|224K,"3,405|down|1,270","Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",Steve Oedekerk,Jack Bernstein|Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow
365,6.6|31K,"1,189|down|595",An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,Victor Salva,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen
366,6.5|55K,"4,300|down|946",An ex-Marine turned teacher struggles to connect with her students in an inner city school.,John N. Smith,LouAnne Johnson|Ron Bass,Michelle Pfeiffer|George Dzundza|Courtney B. Vance
367,6.9|228K,402|up|183,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",Amy Heckerling,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy
368,4.4|29K,"4,123|up|898","Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",Jason Bloom,Adam Leff|Mitchell Peck|Jason Blumenthal,Pauly Shore|Stephen Baldwin|William Atherton
369,6.2|42K,,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,Penelope Spheeris,Fred Wolf,Chris Farley|David Spade|Tim Matheson
370,5.8|15K,,"A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde.",Stephen Frears,Valerie Martin|Christopher Hampton,Julia Roberts|John Malkovich|George Cole
371,7.6|84K,"3,735|up|20",Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,Clint Eastwood,Richard LaGravenese|Robert James Waller,Clint Eastwood|Meryl Streep|Annie Corley
372,6.8|6.5K,,A poignant romantic comedy about the quest for love and intimacy in the age of AIDS. A story of a thirtyish gay actor/waiter who decides to become celibate...the risk of AIDS has taken all the joy from sex.,Christopher Ashley,Paul Rudnick,Steven Weber|Michael T. Weiss|Peter Jacobson
373,5.6|121K,"3,630|up|256","In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart.",Danny Cannon,John Wagner|Carlos Ezquerra|Michael De Luca,Sylvester Stallone|Armand Assante|Rob Schneider
374,5.2|29K,"2,433|down|557","A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a distant planet to find the mystic warrior Dulcea.",Bryan Spicer,John Kamps|Arne Olsen,Karan Ashley|Johnny Yong Bosch|Steve Cardenas
375,5.0|70K,932|up|32,"Nomi, a young carefree drifter, arrives in Las Vegas, Nevada to become a dancer and soon sets about clawing her way to the top of the Vegas showgirls.",Paul Verhoeven,Joe Eszterhas,Elizabeth Berkley|Kyle MacLachlan|Gina Gershon
376,5.9|7.3K,,"In hot water with the mob over an unpaid debt, a con man poses as a family friend in an affluent Pennsylvania suburb.",Randall Miller,Michael J. Di Gaetano|Lawrence Gay,Sinbad|Phil Hartman|Kim Greist
377,6.6|29K,"3,547|down|379","Plump kids are lured into joining a posh fat camp with the promise of quick weight loss and good times, only to find that it is a woodland hellhole run by a psycho ex-fitness instructor.",Steven Brill,Judd Apatow|Steven Brill,Tom McGowan|Aaron Schwartz|Ben Stiller
378,6.6|40K,,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.,Les Mayfield,Valentine Davies|George Seaton|John Hughes,Richard Attenborough|Elizabeth Perkins|Dylan McDermott
379,6.7|25K,,High-level demons collect low-level demons as warriors in attempt to obtain a key containing the blood of Christ. The key is guarded by immortal warriors called Demon Knights.,Ernest R. Dickerson,Ethan Reiff|Cyrus Voris|Mark Bishop,Billy Zane|William Sadler|Jada Pinkett Smith
380,6.6|84K,"2,521|down|132","With the help of long presumed dead Captain Kirk, Captain Picard must stop a deranged scientist willing to murder on a planetary scale in order to enter a space matrix.",David Carson,Gene Roddenberry|Rick Berman|Ronald D. Moore,Patrick Stewart|William Shatner|Malcolm McDowell
381,7.2|40K,"2,863|up|76","A young social outcast in Australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love.",P.J. Hogan,P.J. Hogan,Toni Collette|Rachel Griffiths|Bill Hunter
382,7.5|52K,"3,499|down|41",Two drag performers and a transgender woman travel across the desert to perform their unique style of cabaret.,Stephan Elliott,Stephan Elliott,Hugo Weaving|Guy Pearce|Terence Stamp
383,5.0|83K,"2,744|down|440","In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness.",Brian Levant,Tom S. Parker|Jim Jennewein|Steven E. de Souza,John Goodman|Rick Moranis|Rosie O'Donnell
384,6.5|107K,"4,426|up|445",Frank Drebin (Leslie Nielsen) comes out of retirement to help Police Squad infiltrate a gang of terrorists planning to detonate a bomb at the Academy Awards.,Peter Segal,Pat Proft|David Zucker|Robert LoCash,Leslie Nielsen|Priscilla Presley|George Kennedy
385,7.3|267K,736|up|49,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.",James Cameron,James Cameron|Claude Zidi|Simon Michaël,Arnold Schwarzenegger|Jamie Lee Curtis|Tom Arnold
386,6.8|103K,"1,892|up|423","The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie.",Barry Sonnenfeld,Charles Addams|Paul Rudnick,Anjelica Huston|Raul Julia|Christopher Lloyd
387,7.2|63K,"2,400|up|102","A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.",Martin Scorsese,Edith Wharton|Jay Cocks|Martin Scorsese,Daniel Day-Lewis|Michelle Pfeiffer|Winona Ryder
388,5.5|84K,,"Axel Foley, while investigating a car theft ring, comes across something much bigger than that: the same men who killed his boss are running a counterfeit money ring out of a theme park in Los Angeles.",John Landis,Danilo Bach|Daniel Petrie Jr.|Steven E. de Souza,Eddie Murphy|Jon Tenney|Joey Travolta
389,6.6|10K,,"The fates of horses, and the people who own and command them, are revealed as Black Beauty narrates the circle of his life.",Caroline Thompson,Anna Sewell|Caroline Thompson,Sean Bean|David Thewlis|Docs Keepin Time
390,7.2|4.4K,,"A mockumentary chronicling the rise and fall of NWH, a not particularly talented--or particularly bright but always controversial--hip-hop group.",Rusty Cundieff,Rusty Cundieff,Larry B. Scott|Mark Christopher Lawrence|Rusty Cundieff
391,6.4|156K,"1,118|up|577","With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character.",John McTiernan,Zak Penn|Adam Leff|Shane Black,Arnold Schwarzenegger|F. Murray Abraham|Art Carney
392,6.7|30K,,Chuck wants to leave home but can't make the grade for boarding school. Then he finds out the disfigured recluse living nearby is an ex-teacher.,Mel Gibson,Isabelle Holland|Malcolm MacRury,Mel Gibson|Nick Stahl|Margaret Whitton
393,7.1|275K,"1,646|down|189","After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.",Chris Columbus,Anne Fine|Randi Mayem Singer|Leslie Dixon,Robin Williams|Sally Field|Pierce Brosnan
394,6.1|3.8K,,A series of mysterious crimes threatens the existence of a new radio network.,Mel Smith,George Lucas|Willard Huyck|Gloria Katz,Brian Benben|Mary Stuart Masterson|Ned Beatty
395,6.7|130K,"1,846|down|168","A spoof of Robin Hood in general, and Robin Hood: Prince of Thieves (1991) in particular.",Mel Brooks,J.D. Shapiro|Evan Chandler|Mel Brooks,Cary Elwes|Richard Lewis|Roger Rees
396,6.8|31K,,"She's the perfect all-American parent: a great cook and homemaker, a devoted recycler, and a woman who'll literally kill to keep her children happy.",John Waters,John Waters,Kathleen Turner|Sam Waterston|Ricki Lake
