id,rating,pop,desc,director,writer,star
1,8.3|1M,619|up|59,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,John Lasseter,John Lasseter|Pete Docter|Andrew Stanton,Tom Hanks|Tim Allen|Don Rickles
2,7.2|262K,"1,820|down|769","Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop them from using it.",Martin Campbell,Ian Fleming|Michael France|Jeffrey Caine,Pierce Brosnan|Sean Bean|Izabella Scorupco
3,6.7|108K,"3,108|down|122",Four interlocking tales that take place in a fading hotel on New Year's Eve.,Allison Anders|Alexandre Rockwell|Robert Rodriguez,Allison Anders|Alexandre Rockwell|Robert Rodriguez,Tim Roth|Antonio Banderas|Sammi Davis
4,6.9|86K,"3,944|up|518","A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",Barry Sonnenfeld,Elmore Leonard|Scott Frank,Gene Hackman|Rene Russo|Danny DeVito
5,6.6|62K,"2,665|up|288",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,Jon Amiel,Ann Biderman|David Madsen,Sigourney Weaver|Holly Hunter|Dermot Mulroney
6,7.1|5.8K,,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,Yimou Zhang,Feiyu Bi|Li Xiao,Gong Li|Baotian Li|Xiaoxiao Wang
7,8.0|627K,"1,301|down|123","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Terry Gilliam,Chris Marker|David Webb Peoples|Janet Peoples,Bruce Willis|Madeleine Stowe|Brad Pitt
8,6.9|129K,"3,181|up|28","Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett.",Chris Noonan,Dick King-Smith|George Miller|Chris Noonan,James Cromwell|Magda Szubanski|Christine Cavanaugh
9,7.5|98K,,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",Tim Robbins,Helen Prejean|Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky
10,7.3|15K,,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,Richard Loncraine,Ian McKellen|Richard Loncraine|Richard Eyre,Ian McKellen|Annette Bening|Christopher Bowen
11,,,,,,
12,8.5|1.1M,534|down|18,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer,Christopher McQuarrie,Kevin Spacey|Gabriel Byrne|Chazz Palminteri
13,7.0|41K,,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",Woody Allen,Woody Allen,Woody Allen|Mira Sorvino|Pamela Blair
14,7.8|38K,,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",Michael Radford|Massimo Troisi,Antonio Skármeta|Furio Scarpelli|Giacomo Scarpelli,Massimo Troisi|Philippe Noiret|Maria Grazia Cucinotta
15,7.3|41K,"4,661|up|1,389",A frustrated composer finds fulfillment as a high school music teacher.,Stephen Herek,Patrick Sheane Duncan,Richard Dreyfuss|Glenne Headly|Jay Thomas
16,,,,,,
17,7.2|323K,382|up|246,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",Robert Rodriguez,Robert Kurtzman|Quentin Tarantino,Harvey Keitel|George Clooney|Juliette Lewis
18,7.6|7.8K,,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,Jafar Panahi,Abbas Kiarostami|Jafar Panahi|Parviz Shahbazi,Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy
19,7.4|9.2K,,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",Marleen Gorris,Marleen Gorris,Willeke van Ammelrooy|Jan Decleir|Veerle van Overloop
20,6.8|4.7K,,In the 1800s a naturalist marries into a family of British country gentry.,Philip Haas,A.S. Byatt|Belinda Haas|Philip Haas,Mark Rylance|Kristin Scott Thomas|Patsy Kensit
21,6.9|25K,,The Muppets' twist on the classic tale.,Brian Henson|David Lane,Robert Louis Stevenson|Jerry Juhl|Kirk R. Thatcher,Tim Curry|Billy Connolly|Jennifer Saunders
22,8.4|1.1M,413|up|16,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson,Randall Wallace,Mel Gibson|Sophie Marceau|Patrick McGoohan
23,8.2|857K,180|down|4,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Martin Scorsese,Paul Schrader,Robert De Niro|Jodie Foster|Cybill Shepherd
24,6.7|44K,,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,Stanley Tong,Edward Tang|Fibe Ma,Jackie Chan|Anita Mui|Françoise Yip
25,7.2|93K,"1,675|up|6",A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.,Mike Nichols,Jean Poiret|Francis Veber|Édouard Molinaro,Robin Williams|Nathan Lane|Gene Hackman
26,6.6|8K,,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.",Edward Burns,Edward Burns,Jack Mulcahy|Michael McGlone|Edward Burns
27,6.8|273K,"1,306|down|42",Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,Michael Bay,George Gallo|Michael Barrie|Jim Mulholland,Will Smith|Martin Lawrence|Lisa Boyle
28,7.7|302K,831|up|364,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Ron Howard,Jim Lovell|Jeffrey Kluger|William Broyles Jr.,Tom Hanks|Bill Paxton|Kevin Bacon
29,5.4|258K,"1,604|down|92","Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",Joel Schumacher,Bob Kane|Lee Batchler|Janet Scott Batchler,Val Kilmer|Tommy Lee Jones|Jim Carrey
30,7.7|46K,"4,192|down|174",A frigid young housewife decides to spend her midweek afternoons as a prostitute.,Luis Buñuel,Joseph Kessel|Luis Buñuel|Jean-Claude Carrière,Catherine Deneuve|Jean Sorel|Michel Piccoli
31,7.3|117K,"3,209|down|245","On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so.",Tony Scott,Michael Schiffer|Richard P. Henrick,Gene Hackman|Denzel Washington|Matt Craven
32,8.0|21K,,An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.,Terry Zwigoff,Robert Crumb|Aline Kominsky-Crumb|Charles Crumb,Terry Zwigoff
33,7.1|190K,"2,852|down|125",Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,Robert Rodriguez,Robert Rodriguez,Antonio Banderas|Salma Hayek|Joaquim de Almeida
34,6.0|17K,"3,648|down|1,563","Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos and quickie marts.",Gregg Araki,Gregg Araki,James Duval|Rose McGowan|Johnathon Schaech
35,5.1|19K,,Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,Dwight H. Little,Karen Janszen|Corey Blechman|John Mattson,Jason James Richter|Michael Madsen|Francis Capra
36,5.3|6.8K,,The wild and sexy story of two passionate young people who take to the road for the incredible adventure of their lives.,Antonia Bird,Paula Milne,Chris O'Donnell|Drew Barrymore|Matthew Lillard
37,6.1|3.3K,,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction.",Michael Almereyda,Michael Almereyda,Elina Löwensohn|Peter Fonda|Nic Ratner
38,6.0|70K,"4,779|down|620","A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger.",Irwin Winkler,John Brancato|Michael Ferris,Sandra Bullock|Jeremy Northam|Dennis Miller
39,7.2|75K,"2,702|down|113",A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,Kathryn Bigelow,James Cameron|Jay Cocks,Ralph Fiennes|Angela Bassett|Juliette Lewis
40,6.6|34K,"2,073|up|70","Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.",Beeban Kidron,Douglas Carter Beane,Wesley Snipes|Patrick Swayze|John Leguizamo
41,6.3|149K,"1,716|down|667","In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.",Tamra Davis,Tim Herlihy|Adam Sandler,Adam Sandler|Darren McGavin|Bridgette Wilson-Sampras
42,7.7|227K,"2,215|down|93","A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Kevin Smith,Kevin Smith,Brian O'Halloran|Jeff Anderson|Marilyn Ghigliotti
43,6.1|52K,"3,545|up|107","A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",Barry Levinson,Michael Crichton|Paul Attanasio,Michael Douglas|Demi Moore|Donald Sutherland
44,7.4|46K,"3,218|up|875",A big city reporter travels to a small town where her mother has been arrested for the murder of an elderly woman for whom she worked as a housekeeper.,Taylor Hackford,Stephen King|Tony Gilroy,Kathy Bates|Jennifer Jason Leigh|Christopher Plummer
45,7.8|22K,,A senior chef lives with his three grown daughters; the middle one finds her future plans affected by unexpected events and the life changes of the other household members.,Ang Lee,Ang Lee|James Schamus|Hui-Ling Wang,Sihung Lung|Kuei-Mei Yang|Yu-Wen Wang
46,7.0|20K,,"A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away.",Atom Egoyan,Atom Egoyan,Bruce Greenwood|Elias Koteas|Don McKellar
47,7.8|179K,"3,667|down|694","Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",Tim Burton,Rudolph Grey|Scott Alexander|Larry Karaszewski,Johnny Depp|Martin Landau|Sarah Jessica Parker
48,8.3|27K,,A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.,Steve James,Steve James|Frederick Marx,William Gates|Arthur Agee|Emma Gates
49,6.2|26K,,"A mechanic romances the mathematician niece of physicist Albert Einstein, with help from him and his friends.",Fred Schepisi,Andy Breckman|Michael Leeson,Tim Robbins|Meg Ryan|Walter Matthau
50,8.6|1.4M,181|up|84,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,George Lucas,Mark Hamill|Harrison Ford|Carrie Fisher
51,7.5|172K,"1,581|up|182","In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war.",Edward Zwick,Susan Shilliday|William D. Wittliff|Jim Harrison,Brad Pitt|Anthony Hopkins|Aidan Quinn
52,7.2|17K,,"When King George III goes mad, his Lieutenants try to adjust the rules to run the country without his participation.",Nicholas Hytner,Alan Bennett,Nigel Hawthorne|Helen Mirren|Rupert Graves
53,7.2|241K,953|down|1,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,Oliver Stone,Quentin Tarantino|David Veloz|Richard Rutowski,Woody Harrelson|Juliette Lewis|Tom Sizemore
54,6.6|133K,"4,619|down|1,041",Army doctors struggle to find a cure for a deadly virus spreading throughout a California town that was brought to America by an African monkey.,Wolfgang Petersen,Laurence Dworet|Robert Roy Pool,Dustin Hoffman|Rene Russo|Morgan Freeman
55,8.5|1.2M,297|up|1,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,Luc Besson,Jean Reno|Gary Oldman|Natalie Portman
56,8.9|2.1M,105|down|12,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,Quentin Tarantino|Roger Avary,John Travolta|Uma Thurman|Samuel L. Jackson
57,7.1|11K,,"A homosexual Catholic priest finds out during confessional that a young girl is being sexually abused by her father, and has to decide how to deal with both that secret and his own.",Antonia Bird,Jimmy McGovern,Linus Roache|Tom Wilkinson|Robert Carlyle
58,7.5|71K,,"A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.",Robert Redford,Paul Attanasio|Richard N. Goodwin,Ralph Fiennes|John Turturro|Rob Morrow
59,8.1|106K,"4,348|up|277",A model discovers a retired judge is keen on invading people's privacy.,Krzysztof Kieslowski,Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland,Irène Jacob|Jean-Louis Trintignant|Frédérique Feder
60,7.9|105K,"3,497|down|110",A woman struggles to find a way to live her life after the death of her husband and child.,Krzysztof Kieslowski,Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland,Juliette Binoche|Zbigniew Zamachowski|Julie Delpy
61,7.6|76K,,"After his wife divorces him, a Polish immigrant plots to get even with her.",Krzysztof Kieslowski,Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland,Zbigniew Zamachowski|Julie Delpy|Janusz Gajos
62,7.0|196K,"1,619|down|429","An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",Roland Emmerich,Dean Devlin|Roland Emmerich,Kurt Russell|James Spader|Jaye Davidson
63,6.5|125K,,"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.",John Pasquin,Leo Benvenuti|Steve Rudnick,Tim Allen|Judge Reinhold|Wendy Crewson
64,9.3|2.7M,76|down|4,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Frank Darabont,Stephen King|Frank Darabont,Tim Robbins|Morgan Freeman|Bob Gunton
65,7.7|243K,"1,285|up|460",A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,Lasse Hallström,Peter Hedges,Johnny Depp|Leonardo DiCaprio|Juliette Lewis
66,6.8|107K,"3,418|up|163",A hopelessly romantic Chicago Transit Authority token collector is mistaken for the fiancée of a coma patient.,Jon Turteltaub,Daniel G. Sullivan|Fredric Lebow,Sandra Bullock|Bill Pullman|Peter Gallagher
67,6.9|310K,"1,059|down|307",A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.,Tom Shadyac,Jack Bernstein|Tom Shadyac|Jim Carrey,Jim Carrey|Courteney Cox|Sean Young
68,7.5|189K,"1,296|down|284",A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder.,Alex Proyas,James O'Barr|David J. Schow|John Shirley,Brandon Lee|Michael Wincott|Rochelle Davis
69,8.8|2.1M,171|up|60,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,Winston Groom|Eric Roth,Tom Hanks|Robin Wright|Gary Sinise
70,7.1|158K,"2,211|down|213","Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.",Mike Newell,Richard Curtis,Hugh Grant|Andie MacDowell|James Fleet
71,8.5|1.1M,414|down|44,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers|Rob Minkoff,Irene Mecchi|Jonathan Roberts|Linda Woolverton,Matthew Broderick|Jeremy Irons|James Earl Jones
72,6.9|397K,999|down|143,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.,Chuck Russell,Michael Fallon|Mark Verheiden|Mike Werb,Jim Carrey|Cameron Diaz|Peter Riegert
73,7.0|115K,"3,384|up|27","Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief.",Richard Donner,Roy Huggins|William Goldman,Mel Gibson|Jodie Foster|James Garner
74,6.6|16K,,"Three go-go dancers holding a young girl hostage come across a crippled old man living with his two sons in the desert. After learning he's hiding a sum of cash around, the women start scheming on him.",Russ Meyer,Jackie Moran|Russ Meyer,Tura Satana|Haji|Lori Williams
75,7.4|102,,"Brother Minister reveals the mystery surrounding the assassination of Malcolm X at the Audubon Ballroom in New York City on February 21, 1965. It probes the innocence of two of the convicted assassins, reveals the true identity of the killers, examines the FBI and NYPD clandestine roles in the assassination, and discovers the secret origin of the Nation of Islam and i...",Jefri Aalmuhammed|Jack Baxter,Jefri Aalmuhammed|Jack Baxter|Joan Claire Chabriel,A. Peter Bailey|Roscoe Lee Browne|John Henrik Clarke
76,7.9|223K,"1,586|down|438","A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",Brian De Palma,Edwin Torres|David Koepp,Al Pacino|Sean Penn|Penelope Ann Miller
77,6.8|140K,"2,283|up|132",A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,Sydney Pollack,John Grisham|David Rabe|Robert Towne,Tom Cruise|Jeanne Tripplehorn|Gene Hackman
78,6.0|79K,"3,508|down|667","When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale.",Simon Wincer,Keith Walker|Corey Blechman,Jason James Richter|Lori Petty|Michael Madsen
79,7.8|303K,"1,329|down|537","Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",Andrew Davis,Jeb Stuart|David Twohy|Roy Huggins,Harrison Ford|Tommy Lee Jones|Sela Ward
80,6.6|94K,"3,646|down|124","""Rambo"" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams.",Jim Abrahams,Jim Abrahams|Pat Proft,Charlie Sheen|Lloyd Bridges|Valeria Golino
81,7.2|83K,,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,Joel Coen|Ethan Coen,Ethan Coen|Joel Coen|Sam Raimi,Tim Robbins|Paul Newman|Jennifer Jason Leigh
82,8.2|1M,182|down|9,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,Michael Crichton|David Koepp,Sam Neill|Laura Dern|Jeff Goldblum
83,7.3|50K,"3,651|down|381","Young lovers, and soon to wed, Hero and Claudio conspire to get verbal sparring partners and confirmed singles, Benedick and Beatrice, to wed as well.",Kenneth Branagh,William Shakespeare|Kenneth Branagh,Kenneth Branagh|Emma Thompson|Keanu Reeves
84,5.9|9.4K,,"The Earth is invaded by stingray-shaped alien ""slugs"" that ride on people's backs and control their minds.",Stuart Orme,Robert A. Heinlein|Ted Elliott|Terry Rossio,Donald Sutherland|Eric Thal|Julie Warner
85,6.9|26K,,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.",Ted Demme,Marie Weiss|Richard LaGravenese,Denis Leary|Judy Davis|Kevin Spacey
86,7.8|78K,"1,882|up|68",A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,James Ivory,Kazuo Ishiguro|Ruth Prawer Jhabvala,Anthony Hopkins|Emma Thompson|John Haycraft
87,7.4|41K,,A prepubescent chess prodigy is encouraged to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,Steven Zaillian,Fred Waitzkin|Steven Zaillian,Joe Mantegna|Ben Kingsley|Max Pomeranc
88,6.8|182K,"1,225|up|185",A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.,Nora Ephron,Jeff Arch|Nora Ephron|David S. Ward,Tom Hanks|Meg Ryan|Ross Malinger
89,8.1|784K,324|up|3,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Ridley Scott,Hampton Fancher|David Webb Peoples|Philip K. Dick,Harrison Ford|Rutger Hauer|Sean Young
90,6.4|41K,"4,260|down|262",A San Francisco poet who fears commitment suspects his girlfriend may have a knack for killing off her significant others.,Thomas Schlamme,Robbie Fox,Mike Myers|Nancy Travis|Anthony LaPaglia
91,7.9|350K,"2,618|down|786","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,Tim Burton|Michael McDowell|Caroline Thompson,Danny Elfman|Chris Sarandon|Catherine O'Hara
92,7.9|232K,688|down|111,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",Tony Scott,Quentin Tarantino|Roger Avary,Christian Slater|Patricia Arquette|Dennis Hopper
93,7.4|36K,"2,640|down|2,256","An awkward seventh-grader struggles to cope with inattentive parents, snobbish class-mates, a smart older brother, an attractive younger sister and her own insecurities in suburban New Jersey.",Todd Solondz,Todd Solondz,Heather Matarazzo|Christina Brucato|Victoria Davis
94,7.7|602K,353|up|326,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas eve.",Chris Columbus,John Hughes,Macaulay Culkin|Joe Pesci|Daniel Stern
95,8.0|433K,"1,127|up|10",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Ron Clements|John Musker,Ron Clements|John Musker|Ted Elliott,Scott Weinger|Robin Williams|Linda Larkin
96,8.6|1.1M,391|down|92,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.",James Cameron,James Cameron|William Wisher,Arnold Schwarzenegger|Linda Hamilton|Edward Furlong
97,8.0|275K,509|down|127,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.",Kevin Costner,Michael Blake,Kevin Costner|Mary McDonnell|Graham Greene
98,8.6|1.5M,206|up|15,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,Thomas Harris|Ted Tally,Jodie Foster|Anthony Hopkins|Lawrence A. Bonney
99,7.6|205K,"2,828|up|235","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",William Cottrell|David Hand|Wilfred Jackson,Jacob Grimm|Wilhelm Grimm|Ted Sears,Adriana Caselotti|Harry Stockwell|Lucille La Verne
100,8.1|690K,670|down|24,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Joel Coen|Ethan Coen,Ethan Coen|Joel Coen,William H. Macy|Frances McDormand|Steve Buscemi
101,6.6|36K,"3,778|up|1","A glowing green orb - which embodies ultimate evil - terrorizes a young girl with an anthology of bizarre and fantastic stories of dark fantasy, eroticism and horror.",Gerald Potterton|John Bruno|John Halas,Daniel Goldberg|Len Blum|Dan O'Bannon,Richard Romanus|John Candy|Joe Flaherty
102,7.1|108K,"2,860|down|43","With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.",Wolfgang Reitherman,Larry Clemmons|Vance Gerry|Ken Anderson,Phil Harris|Eva Gabor|Sterling Holloway
103,5.5|6.3K,,"Charlie and Itchy return to Earth to find Gabriel's Horn, but along the way meet up with a young boy named David, who ran away from home.",Larry Leker|Paul Sabella,Arne Olsen|Kelly Ward|Mark Young,Charlie Sheen|Sheena Easton|Dom DeLuise
104,2.3|4.7K,,"In an alternate futuristic society, a tough female police detective is paired with a talking dinosaur to find the killer of dinosaurs and other prehistoric animals leading them to a mad scientist bent on creating a new Armageddon.",Jonathan R. Betuel,Jonathan R. Betuel,Whoopi Goldberg|Armin Mueller-Stahl|Juliet Landau
105,5.8|23K,,"Sgt. Bilko is a well-liked conman in charge of the army base's motor pool, developing a hover tank and unofficially of gambling etc. One man hates Bilko and he's coming to inspect the base for possible closure.",Jonathan Lynn,Nat Hiken|Andy Breckman,Steve Martin|Dan Aykroyd|Phil Hartman
106,5.4|15K,,The wife and mistress of the sadistic dean of an exclusive prep school conspire to murder him.,Jeremiah S. Chechik,Pierre Boileau|Thomas Narcejac|Henri-Georges Clouzot,Sharon Stone|Isabelle Adjani|Chazz Palminteri
107,6.4|4.4K,,"The daughter of a thief, young Moll is placed in the care of a nunnery after her mother's execution, but the actions of an abusive priest lead her to rebel as a teenager, and she escapes to the dangerous streets of London. Further misfortunes drive her to accept a job as a prostitute from the conniving Mrs. Allworthy, where she first meets Hibble, who is working as Al...",Pen Densham,Daniel Defoe|Pen Densham,Robin Wright|Morgan Freeman|Stockard Channing
108,6.9|9.3K,,"A pharmaceutical scientist creates a pill that makes people remember their happiest memory, and although it's successful, it has unfortunate side effects.",Kelly Makin,Norm Hiscock|Bruce McCulloch|Kevin McDonald,David Foley|Bruce McCulloch|Kevin McDonald
109,7.2|19K,,Mike Nelson and his robot companions watch and give their comments about This Island Earth (1955).,Jim Mallon,Michael J. Nelson|Trace Beaulieu|Jim Mallon,Trace Beaulieu|Michael J. Nelson|Jim Mallon
110,5.2|9.4K,,"To keep the loyalty of a village during the Vietnam war, a U.S. Army officer and his unit struggle to deliver it a live elephant.",Simon Wincer,James Morris|Gene Quintano|Jim Kouf,Danny Glover|Ray Liotta|Denis Leary
111,6.3|29K,,A successful veternarian & radio show host with low self-esteem asks her model friend to impersonate her when a handsome man wants to see her.,Michael Lehmann,Audrey Wells,Uma Thurman|Janeane Garofalo|Ben Chaplin
112,5.3|11K,,A teenage boy sent to spend the summer with his eccentric uncle on the Florida coast befriends a remarkable dolphin and takes on local bad guys who are polluting the water.,Alan Shapiro|Shelly Hatton,Ricou Browning|Jack Cowden|Arthur Weiss,Paul Hogan|Elijah Wood|Jonathan Banks
113,7.0|6.2K,,"In a time of war and disease, a young officer gallantly tries to help a young woman find her husband.",Jean-Paul Rappeneau,Jean Giono|Jean-Paul Rappeneau|Nina Companeez,Olivier Martinez|Juliette Binoche|Pierre Arditi
114,,,,,,
115,7.3|464,,How was it possible that a movie like Plan 9 from Outer Space (1957) could be made? This documentary about Edward D. Wood Jr.'s masterpiece gives the answer.,Brett Thompson,Brett Thompson,Maila Nurmi|Dolores Fuller|Paul Marco
116,7.2|7.2K,,"A recently orphaned young woman goes to live with eccentric relatives in Sussex, where she sets about improving their gloomy lives.",John Schlesinger,Malcolm Bradbury|Stella Gibbons,Eileen Atkins|Kate Beckinsale|Sheila Burrell
117,7.4|345K,416|up|201,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.",Michael Bay,David Weisberg|Douglas Cook|Mark Rosner,Sean Connery|Nicolas Cage|Ed Harris
118,6.4|202K,484|down|56,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.",Jan de Bont,Michael Crichton|Anne-Marie Martin,Helen Hunt|Bill Paxton|Cary Elwes
119,7.3|512,,A film about the work of the artist most famous for her monuments such as the Vietnam Memorial Wall and the Civil Rights Fountain Memorial.,Freida Lee Mock,Freida Lee Mock,Maya Lin
120,4.5|47K,"3,083|up|196",A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.,Andrew Bergman,Carl Hiaasen|Andrew Bergman,Demi Moore|Burt Reynolds|Armand Assante
121,,,,,,
